seq,rtt_ms,inter_arrival_ms,timestamp
586,54.191,56.077,1770976459.141112
587,51.996,53.898,1770976459.195010
588,52.295,54.088,1770976459.249098
589,53.956,55.895,1770976459.304994
590,54.443,56.113,1770976459.361106
591,49.564,52.001,1770976459.413108
592,69.927,71.876,1770976459.484984
593,56.905,59.988,1770976459.544971
594,56.301,58.121,1770976459.603093
595,57.069,58.918,1770976459.662011
596,55.086,57.033,1770976459.719043
597,56.957,58.957,1770976459.778000
598,54.114,56.015,1770976459.834015
599,53.320,55.071,1770976459.889087
600,55.125,56.938,1770976459.946025
601,57.094,58.998,1770976460.005023
602,52.256,54.134,1770976460.059157
603,58.009,59.918,1770976460.119075
604,52.248,53.998,1770976460.173072
605,54.084,55.921,1770976460.228993
606,54.383,56.055,1770976460.285048
607,59.158,61.006,1770976460.346054
608,49.331,51.118,1770976460.397172
609,53.977,55.899,1770976460.453070
610,55.149,57.015,1770976460.510085
611,55.267,57.066,1770976460.567152
612,57.037,58.891,1770976460.626043
613,53.128,55.000,1770976460.681043
614,60.102,62.034,1770976460.743077
615,62.404,67.022,1770976460.810099
616,55.938,58.938,1770976460.869037
617,55.161,57.058,1770976460.926095
618,54.077,55.972,1770976460.982067
619,55.014,56.952,1770976461.039019
620,56.316,58.075,1770976461.097094
621,60.099,61.943,1770976461.159038
622,53.085,56.173,1770976461.215211
623,56.931,58.783,1770976461.273994
624,49.296,51.025,1770976461.325018
625,56.137,57.964,1770976461.382982
626,56.161,58.059,1770976461.441042
627,55.069,56.915,1770976461.497957
628,47.208,50.042,1770976461.547998
629,55.200,57.047,1770976461.605046
630,56.311,58.057,1770976461.663103
631,57.036,59.103,1770976461.722206
632,58.795,60.833,1770976461.783039
633,57.247,59.028,1770976461.842067
634,54.127,55.953,1770976461.898019
635,53.278,55.069,1770976461.953088
636,56.447,58.041,1770976462.011130
637,62.119,63.952,1770976462.075082
638,55.115,57.997,1770976462.133079
639,55.081,56.972,1770976462.190050
640,55.317,56.970,1770976462.247021
641,53.171,54.983,1770976462.302004
642,55.368,57.098,1770976462.359102
643,56.646,58.512,1770976462.417614
644,55.728,57.453,1770976462.475067
645,58.160,59.980,1770976462.535048
646,52.526,54.058,1770976462.589106
647,54.207,56.077,1770976462.645182
648,55.145,56.854,1770976462.702037
649,54.241,56.084,1770976462.758120
650,62.262,63.976,1770976462.822096
651,54.053,57.114,1770976462.879210
652,75.174,76.853,1770976462.956064
653,51.044,53.977,1770976463.010041
654,54.261,55.988,1770976463.066028
655,54.240,56.063,1770976463.122091
656,69.223,70.950,1770976463.193041
657,65.024,68.066,1770976463.261107
658,70.127,73.024,1770976463.334131
659,52.978,55.995,1770976463.390127
660,53.342,54.970,1770976463.445096
661,56.036,60.991,1770976463.506088
662,55.286,56.964,1770976463.563051
663,56.402,58.179,1770976463.621230
664,54.101,55.839,1770976463.677069
665,57.273,58.999,1770976463.736068
666,55.240,56.970,1770976463.793039
667,61.135,62.957,1770976463.855996
668,55.137,58.054,1770976463.914050
669,53.268,55.053,1770976463.969103
670,56.210,57.931,1770976464.027034
671,54.369,56.109,1770976464.083143
672,57.914,59.906,1770976464.143049
673,54.147,56.056,1770976464.199105
674,48.058,49.998,1770976464.249103
675,51.347,53.239,1770976464.302342
676,57.883,59.712,1770976464.362054
677,65.080,67.090,1770976464.429144
678,58.845,61.931,1770976464.491075
679,64.108,65.998,1770976464.557073
680,49.069,52.011,1770976464.609084
681,54.127,55.953,1770976464.665037
682,56.170,58.016,1770976464.723053
683,59.222,61.008,1770976464.784062
684,57.066,59.049,1770976464.843111
685,56.111,57.988,1770976464.901099
686,59.994,61.972,1770976464.963071
687,55.842,58.978,1770976465.022049
688,60.051,62.038,1770976465.084088
689,55.000,57.920,1770976465.142007
690,86.170,88.135,1770976465.230142
691,55.903,59.088,1770976465.289231
692,65.881,67.838,1770976465.357069
693,48.026,50.968,1770976465.408037
694,55.302,57.165,1770976465.465202
695,56.149,57.900,1770976465.523103
696,67.070,69.052,1770976465.592155
697,53.970,56.907,1770976465.649061
698,54.218,56.115,1770976465.705177
699,57.983,59.918,1770976465.765095
700,63.163,65.140,1770976465.830234
701,55.959,59.057,1770976465.889291
702,54.816,56.837,1770976465.946129
703,57.981,59.933,1770976466.006062
704,68.269,70.081,1770976466.076143
705,52.674,54.948,1770976466.131090
706,52.917,54.992,1770976466.186083
707,54.203,55.990,1770976466.242072
708,58.958,60.999,1770976466.303071
709,58.363,60.115,1770976466.363187
710,52.782,54.889,1770976466.418076
711,63.191,65.024,1770976466.483100
712,65.981,69.046,1770976466.552147
713,58.135,63.020,1770976466.615166
714,59.897,62.911,1770976466.678078
715,57.229,60.156,1770976466.738234
716,66.639,68.606,1770976466.806839
717,74.269,77.180,1770976466.884020
718,64.973,68.067,1770976466.952086
719,80.956,84.019,1770976467.036105
720,52.958,57.933,1770976467.094038
721,53.086,55.098,1770976467.149136
722,54.061,55.938,1770976467.205073
723,63.056,65.026,1770976467.270099
724,52.921,56.042,1770976467.326141
725,54.907,56.916,1770976467.383058
726,52.119,54.068,1770976467.437126
